Student_ID,Age,Gender,University_Year,Major,Attendance_Percentage,Study_Hours_Per_Week,CGPA,Academic_Performance,Programming_Skill,Projects_Completed,Certifications,Hackathons,GitHub_Profile,Internships,Leadership_Experience,LinkedIn_Profile,Resume_Score,Communication_Skills,Teamwork,Problem_Solving,English_Proficiency,Interview_Score,Employability_Score,Placement_Status,Company_Tier,Career_Field,Placement_Mode,Starting_Salary_USD
ST000016,25,Male,Junior,Software Engineering,87,29,3.53,Good,10,11,3,3,No,5,No,No,100,9,9,8,Advanced,76,246.45,Placed,Tier 1,DevOps Engineer,Internship Conversion,96148
ST000017,22,Male,Junior,Computer Science,77,29,3.19,Average,6,6,3,1,Yes,4,No,Yes,96,7,8,7,Intermediate,73,201.65,Placed,Tier 1,Software Engineer,Campus Placement,70471
ST000018,22,Male,Senior,Cybersecurity,75,27,2.98,Average,7,10,3,1,Yes,4,Yes,Yes,100,9,9,7,Advanced,86,222.2,Placed,Tier 1,Cybersecurity Analyst,Off-Campus,107423
ST000019,20,Male,Sophomore,Computer Science,100,29,3.42,Good,7,11,1,4,Yes,5,Yes,Yes,100,10,5,7,Advanced,73,228.3,Placed,Tier 1,Software Engineer,Campus Placement,76449
ST000020,22,Female,Freshman,Computer Science,98,11,3.14,Average,7,11,0,5,Yes,5,Yes,Yes,100,10,9,7,Advanced,80,226.1,Placed,Tier 1,Software Engineer,Internship Conversion,99041
ST000021,23,Male,Junior,Software Engineering,83,26,3.48,Good,8,14,0,3,Yes,5,Yes,No,100,10,8,8,Advanced,94,250.2,Placed,Tier 1,DevOps Engineer,Campus Placement,101826
ST000022,23,Female,Freshman,Computer Science,85,17,3.21,Good,8,11,3,2,Yes,5,No,No,100,9,6,8,Advanced,80,235.65,Placed,Tier 1,Full Stack Developer,Off-Campus,106422
ST000023,21,Male,Sophomore,Computer Science,87,20,3.15,Average,8,11,3,5,Yes,5,Yes,Yes,100,10,9,8,Advanced,92,242.75,Placed,Tier 1,Backend Developer,Internship Conversion,102954
ST000024,21,Male,Junior,Cybersecurity,73,36,3.11,Average,6,10,3,3,Yes,5,Yes,No,100,10,8,6,Advanced,78,221.15,Placed,Tier 1,Penetration Tester,Off-Campus,86135
ST000025,18,Male,Junior,Software Engineering,73,19,2.94,Average,7,7,2,3,Yes,3,No,Yes,92,7,5,5,Intermediate,65,188.2,Placed,Tier 1,DevOps Engineer,Campus Placement,95938
ST000026,22,Male,Senior,Business Analytics,85,32,3.54,Good,6,7,1,2,Yes,4,No,Yes,96,7,6,9,Intermediate,79,212.9,Placed,Tier 1,Business Analyst,Campus Placement,103153
ST000027,24,Female,Senior,Artificial Intelligence,88,19,3.22,Good,8,10,1,4,Yes,5,No,Yes,100,9,9,7,Advanced,84,230.8,Placed,Tier 1,Data Scientist,Campus Placement,104664
ST000028,23,Male,Junior,Business Analytics,100,16,3.23,Good,5,2,1,1,Yes,3,Yes,Yes,83,10,8,5,Advanced,71,179.35,Not Placed,No Company,Not Placed,Not Applicable,0
ST000029,20,Female,Junior,Computer Science,68,34,3.29,Good,7,5,4,3,Yes,4,No,Yes,91,7,6,8,Intermediate,80,210.65,Not Placed,No Company,Not Placed,Not Applicable,0
ST000030,23,Male,Sophomore,Artificial Intelligence,71,21,2.9,Average,8,11,0,1,Yes,5,No,Yes,100,8,7,8,Advanced,84,226.5,Placed,Tier 1,Data Scientist,Off-Campus,98956
ST000031,21,Male,Freshman,Business Analytics,100,34,3.72,Excellent,7,10,4,2,No,5,No,No,100,7,5,6,Advanced,81,231.3,Placed,Tier 1,Business Analyst,Campus Placement,98166
ST000032,20,Female,Senior,Cybersecurity,97,22,3.67,Good,7,5,2,4,No,4,Yes,Yes,90,10,7,9,Advanced,75,218.55,Placed,Tier 1,Penetration Tester,Internship Conversion,96632
ST000033,22,Female,Sophomore,Computer Science,76,14,2.82,Average,8,8,2,3,Yes,3,Yes,Yes,100,8,8,6,Advanced,75,203.8,Placed,Tier 1,Backend Developer,Internship Conversion,96982
ST000034,23,Female,Sophomore,Cybersecurity,75,23,2.99,Average,7,10,3,2,Yes,4,No,No,100,5,4,8,Intermediate,71,208.85,Placed,Tier 1,SOC Analyst,Campus Placement,92915
ST000035,22,Male,Freshman,Computer Science,87,24,3.74,Excellent,10,11,1,2,Yes,5,No,No,100,7,5,9,Advanced,94,253.6,Placed,Tier 1,Full Stack Developer,Campus Placement,103384
ST000036,28,Female,Senior,Computer Science,81,32,3.34,Good,7,12,3,1,No,5,Yes,No,100,9,8,9,Advanced,90,242.6,Placed,Tier 1,Software Engineer,Campus Placement,109096
ST000037,22,Male,Junior,Data Science,75,18,2.81,Average,6,8,0,3,Yes,4,No,Yes,93,7,6,7,Advanced,63,189.55,Not Placed,No Company,Not Placed,Not Applicable,0
ST000038,18,Female,Junior,Information Technology,82,27,2.99,Average,7,7,2,2,No,2,No,Yes,81,6,6,6,Intermediate,49,172.65,Placed,Tier 2,Cloud Engineer,Campus Placement,65419
ST000039,23,Female,Sophomore,Artificial Intelligence,81,13,2.81,Average,8,8,1,5,Yes,3,Yes,Yes,100,8,10,9,Intermediate,75,208.15,Placed,Tier 1,Machine Learning Engineer,Off-Campus,94847
ST000040,24,Female,Sophomore,Software Engineering,87,20,3.24,Good,8,10,2,5,Yes,5,Yes,Yes,100,10,9,8,Advanced,84,236.6,Placed,Tier 1,DevOps Engineer,Campus Placement,100473
ST000041,22,Female,Senior,Electrical Engineering,84,36,3.61,Good,6,10,1,0,No,5,No,Yes,96,8,5,9,Advanced,78,226.45,Placed,Tier 1,Automation Engineer,Internship Conversion,76120
ST000042,22,Female,Sophomore,Computer Science,90,6,2.97,Average,8,7,3,4,Yes,3,Yes,Yes,100,10,9,8,Advanced,76,214.05,Not Placed,No Company,Not Placed,Not Applicable,0
ST000043,19,Male,Junior,Computer Science,90,16,3.17,Average,7,9,2,5,Yes,4,Yes,Yes,100,9,9,8,Advanced,74,217.55,Placed,Tier 1,Software Engineer,Referral,76985
ST000044,20,Female,Junior,Data Science,90,31,3.55,Good,10,10,0,2,Yes,5,No,Yes,100,8,6,9,Advanced,90,247.25,Placed,Tier 1,Data Analyst,Internship Conversion,104808
ST000045,21,Female,Senior,Software Engineering,83,27,3.33,Good,9,9,3,7,Yes,5,Yes,No,100,10,9,9,Advanced,100,251.45,Placed,Tier 1,Software Engineer,Campus Placement,101108
ST000046,22,Female,Sophomore,Cybersecurity,65,32,2.99,Average,7,6,0,4,Yes,3,Yes,Yes,87,8,8,9,Advanced,64,191.95,Not Placed,No Company,Not Placed,Not Applicable,0
ST000047,20,Male,Senior,Computer Science,79,20,2.62,Average,6,7,2,5,Yes,4,No,Yes,95,7,10,5,Advanced,68,186.8,Placed,Tier 1,Backend Developer,Campus Placement,96712
ST000048,21,Male,Senior,Artificial Intelligence,83,20,3.02,Average,7,8,1,2,Yes,4,No,Yes,98,9,3,8,Advanced,64,206.2,Not Placed,No Company,Not Placed,Not Applicable,0
ST000049,21,Male,Senior,Artificial Intelligence,78,19,2.77,Average,7,6,4,4,Yes,4,No,No,100,7,6,7,Intermediate,81,206.05,Placed,Tier 1,Data Scientist,Referral,105791
ST000050,23,Male,Sophomore,Data Science,79,19,3.11,Average,8,9,3,2,Yes,5,No,No,100,8,6,7,Advanced,80,226.15,Placed,Tier 1,Data Analyst,Internship Conversion,78364
ST000051,21,Female,Junior,Software Engineering,76,29,3.06,Average,7,5,2,1,Yes,4,No,No,85,9,6,7,Advanced,78,203.4,Placed,Tier 1,DevOps Engineer,Campus Placement,94844
ST000052,21,Male,Senior,Artificial Intelligence,81,29,3.28,Good,9,10,2,4,No,4,Yes,No,100,10,9,9,Advanced,92,242.2,Placed,Tier 1,Data Scientist,Campus Placement,105351
ST000053,25,Male,Freshman,Electrical Engineering,76,16,2.9,Average,4,6,0,3,Yes,4,Yes,Yes,90,10,10,6,Advanced,60,180.5,Not Placed,No Company,Not Placed,Not Applicable,0
ST000054,22,Male,Junior,Computer Science,75,22,3.07,Average,6,8,0,2,No,3,No,Yes,84,6,5,7,Intermediate,86,195.25,Placed,Tier 1,Full Stack Developer,Internship Conversion,109796
ST000055,22,Female,Freshman,Artificial Intelligence,86,23,3.1,Average,9,9,2,8,Yes,4,No,Yes,100,7,8,10,Intermediate,99,237.0,Placed,Tier 1,Machine Learning Engineer,Internship Conversion,95995
ST000056,20,Female,Senior,Computer Science,89,18,3.27,Good,9,12,0,3,Yes,5,Yes,Yes,100,10,8,8,Advanced,94,247.05,Placed,Tier 1,Full Stack Developer,Campus Placement,72691
ST000057,21,Male,Junior,Artificial Intelligence,87,29,3.51,Good,9,10,0,5,Yes,5,No,Yes,100,7,6,10,Advanced,92,243.65,Not Placed,No Company,Not Placed,Not Applicable,0
ST000058,22,Female,Junior,Data Science,82,22,3.27,Good,7,9,1,2,Yes,4,No,Yes,100,7,7,7,Advanced,71,210.05,Not Placed,No Company,Not Placed,Not Applicable,0
ST000059,21,Male,Sophomore,Information Technology,96,23,3.59,Good,6,8,3,3,Yes,5,No,No,100,10,8,7,Advanced,93,233.85,Placed,Tier 1,Cloud Engineer,Referral,85981
ST000060,21,Female,Sophomore,Data Science,97,18,3.28,Good,7,6,0,1,Yes,3,No,Yes,88,7,7,6,Advanced,66,189.6,Placed,Tier 1,Data Analyst,Referral,109069
ST000061,20,Male,Senior,Computer Science,81,26,3.03,Average,7,9,2,3,Yes,5,No,Yes,100,8,6,6,Advanced,87,220.95,Placed,Tier 1,Full Stack Developer,Campus Placement,102166
ST000062,18,Male,Sophomore,Computer Science,96,18,3.2,Good,8,8,3,4,Yes,3,Yes,Yes,100,10,8,8,Advanced,86,224.5,Placed,Tier 1,Full Stack Developer,Campus Placement,106070
ST000063,22,Male,Sophomore,Computer Science,88,36,3.53,Good,7,6,1,3,Yes,5,Yes,Yes,100,10,8,9,Advanced,83,228.95,Placed,Tier 1,Software Engineer,Campus Placement,82552
ST000064,21,Female,Senior,Software Engineering,77,29,3.29,Good,10,13,1,5,Yes,5,Yes,Yes,100,10,10,10,Advanced,100,261.85,Placed,Tier 1,Software Engineer,Campus Placement,89809
ST000065,21,Male,Senior,Software Engineering,80,23,3.29,Good,8,10,1,4,Yes,5,Yes,No,100,10,7,9,Advanced,100,245.85,Placed,Tier 1,Software Engineer,Campus Placement,107621
ST000066,21,Male,Senior,Artificial Intelligence,78,23,3.11,Average,10,11,2,5,Yes,5,Yes,Yes,100,10,10,8,Advanced,85,245.15,Placed,Tier 1,Data Scientist,Campus Placement,73513
ST000067,23,Female,Freshman,Computer Science,93,11,3.02,Average,7,12,1,2,Yes,5,No,Yes,100,6,6,6,Intermediate,79,217.3,Placed,Tier 1,Full Stack Developer,Campus Placement,94928
ST000068,21,Female,Senior,Artificial Intelligence,84,18,2.89,Average,9,12,1,7,Yes,4,No,Yes,100,7,8,8,Advanced,84,226.85,Placed,Tier 1,AI Engineer,Campus Placement,83829
ST000069,19,Male,Junior,Computer Science,69,32,3.08,Average,8,10,2,4,Yes,5,No,Yes,100,10,7,8,Advanced,99,241.7,Placed,Tier 1,Backend Developer,Referral,88528
ST000070,21,Female,Senior,Cybersecurity,75,34,3.25,Good,6,8,1,4,Yes,4,No,No,94,6,6,4,Intermediate,70,193.45,Placed,Tier 1,Penetration Tester,Off-Campus,84733
ST000071,24,Female,Freshman,Computer Science,89,24,3.17,Average,7,8,0,5,Yes,5,No,Yes,100,9,7,5,Advanced,72,210.55,Placed,Tier 1,Software Engineer,Off-Campus,100716
ST000072,22,Female,Junior,Data Science,71,20,3.13,Average,8,8,2,6,Yes,5,Yes,Yes,100,10,10,8,Advanced,92,234.95,Placed,Tier 1,Data Analyst,Campus Placement,71695
ST000073,26,Female,Junior,Electrical Engineering,92,18,3.44,Good,6,12,1,5,No,5,No,Yes,100,8,7,8,Advanced,74,225.1,Placed,Tier 1,Embedded Systems Engineer,Off-Campus,100834
ST000074,21,Male,Senior,Data Science,81,36,3.68,Good,9,11,2,5,Yes,5,No,Yes,100,7,7,10,Intermediate,100,255.2,Placed,Tier 1,Data Analyst,Internship Conversion,76855
ST000075,20,Female,Sophomore,Business Analytics,69,11,2.66,Average,5,10,0,4,No,4,No,Yes,94,9,7,3,Advanced,77,190.6,Placed,Tier 1,Data Analyst,Internship Conversion,77597
ST000076,21,Female,Senior,Software Engineering,75,24,3.11,Average,8,8,1,3,Yes,5,No,Yes,100,8,7,5,Advanced,63,208.65,Placed,Tier 1,DevOps Engineer,Referral,98969
ST000077,20,Female,Senior,Data Science,78,14,2.68,Average,8,9,2,3,Yes,4,Yes,No,100,9,9,6,Advanced,76,211.2,Placed,Tier 1,Data Scientist,Campus Placement,80379
ST000078,18,Male,Sophomore,Cybersecurity,97,27,3.49,Good,8,9,5,4,Yes,5,No,Yes,100,9,6,8,Advanced,85,241.35,Placed,Tier 1,Penetration Tester,Off-Campus,89127
ST000079,20,Female,Senior,Computer Science,89,22,3.38,Good,8,10,0,5,Yes,5,Yes,No,100,8,10,8,Advanced,75,227.2,Placed,Tier 1,Software Engineer,Campus Placement,74575
ST000080,22,Male,Senior,Data Science,88,14,2.98,Average,9,10,2,5,Yes,5,Yes,Yes,100,10,10,8,Advanced,97,243.2,Placed,Tier 1,AI Engineer,Internship Conversion,102089
ST000081,21,Male,Sophomore,Information Technology,93,30,3.62,Good,6,11,0,3,Yes,5,No,No,100,9,7,8,Advanced,85,231.8,Not Placed,No Company,Not Placed,Not Applicable,0
ST000082,20,Male,Senior,Data Science,79,28,3.38,Good,7,10,3,3,Yes,5,No,No,100,9,6,8,Advanced,71,227.7,Placed,Tier 1,AI Engineer,Campus Placement,79968
ST000083,18,Female,Junior,Cybersecurity,97,16,3.15,Average,5,5,0,4,No,4,No,Yes,82,10,8,5,Advanced,87,195.35,Placed,Tier 1,Penetration Tester,Campus Placement,79447
ST000084,22,Male,Junior,Electrical Engineering,68,10,2.74,Average,7,11,2,4,Yes,5,No,Yes,100,9,7,6,Advanced,77,217.6,Not Placed,No Company,Not Placed,Not Applicable,0
ST000085,23,Female,Sophomore,Artificial Intelligence,65,21,2.62,Average,6,8,3,4,Yes,2,No,No,85,7,6,5,Intermediate,54,170.3,Placed,Tier 2,AI Engineer,Off-Campus,52692
ST000086,24,Other,Junior,Data Science,83,12,2.84,Average,7,5,2,3,Yes,3,No,No,91,8,6,6,Advanced,75,191.4,Placed,Tier 1,AI Engineer,Internship Conversion,89625
ST000087,18,Female,Sophomore,Artificial Intelligence,82,22,3.02,Average,7,6,4,1,Yes,3,No,Yes,92,8,5,8,Advanced,77,204.4,Placed,Tier 1,AI Engineer,Campus Placement,81473
ST000088,23,Female,Sophomore,Business Analytics,73,37,3.1,Average,6,9,2,2,Yes,4,No,Yes,100,8,7,9,Advanced,68,209.5,Placed,Tier 1,Business Analyst,Internship Conversion,100490
ST000089,22,Male,Sophomore,Artificial Intelligence,81,40,3.39,Good,10,15,1,5,Yes,5,No,Yes,100,8,6,9,Advanced,79,250.85,Placed,Tier 1,Machine Learning Engineer,Internship Conversion,83055
ST000090,23,Male,Sophomore,Artificial Intelligence,82,16,3.03,Average,7,9,3,0,Yes,5,No,Yes,100,7,7,7,Intermediate,77,217.45,Not Placed,No Company,Not Placed,Not Applicable,0
ST000091,21,Male,Senior,Cybersecurity,87,22,3.31,Good,7,9,0,3,No,4,No,Yes,95,9,7,8,Advanced,77,216.65,Not Placed,No Company,Not Placed,Not Applicable,0
ST000092,24,Female,Sophomore,Cybersecurity,94,22,3.72,Excellent,9,11,2,4,Yes,5,Yes,Yes,100,10,8,8,Advanced,93,254.3,Placed,Tier 1,Penetration Tester,Off-Campus,78963
ST000093,24,Female,Sophomore,Data Science,70,6,2.59,Poor,9,10,2,4,Yes,4,No,Yes,100,8,7,8,Advanced,91,225.35,Placed,Tier 1,AI Engineer,Campus Placement,97230
ST000094,19,Female,Senior,Software Engineering,80,16,3.04,Average,7,9,2,5,No,5,No,Yes,100,9,8,8,Advanced,73,220.1,Placed,Tier 1,DevOps Engineer,Referral,89342
ST000095,20,Male,Senior,Computer Science,71,19,2.75,Average,6,8,2,2,No,4,No,Yes,98,6,5,6,Intermediate,73,194.15,Not Placed,No Company,Not Placed,Not Applicable,0
ST000096,26,Female,Sophomore,Cybersecurity,97,30,3.57,Good,10,12,2,4,Yes,5,Yes,Yes,100,10,9,10,Advanced,100,265.55,Placed,Tier 1,Penetration Tester,Off-Campus,87181
ST000097,23,Female,Freshman,Computer Science,91,11,2.68,Average,7,6,1,1,Yes,1,No,Yes,83,6,5,4,Intermediate,60,161.6,Not Placed,No Company,Not Placed,Not Applicable,0
ST000098,20,Male,Senior,Business Analytics,67,23,2.85,Average,5,7,0,4,Yes,3,No,Yes,84,6,6,4,Intermediate,71,172.45,Not Placed,No Company,Not Placed,Not Applicable,0
ST000099,20,Female,Freshman,Business Analytics,68,10,2.8,Average,4,4,3,1,Yes,4,No,No,89,7,8,4,Advanced,63,170.7,Not Placed,No Company,Not Placed,Not Applicable,0
ST000100,25,Male,Junior,Computer Science,95,32,3.62,Good,7,9,1,6,Yes,5,Yes,Yes,100,10,8,7,Advanced,78,229.8,Placed,Tier 1,Backend Developer,Off-Campus,72144
ST000101,20,Male,Sophomore,Artificial Intelligence,71,25,3.15,Average,9,12,1,2,No,5,Yes,No,100,10,9,9,Advanced,100,251.75,Placed,Tier 1,AI Engineer,Campus Placement,96092
ST000102,26,Female,Senior,Computer Science,75,28,3.13,Average,8,13,2,4,Yes,5,No,No,100,8,6,6,Advanced,70,225.95,Placed,Tier 1,Backend Developer,Internship Conversion,85962
ST000103,22,Male,Senior,Software Engineering,79,20,3.07,Average,9,12,1,4,Yes,5,No,Yes,100,10,7,9,Advanced,100,250.55,Placed,Tier 1,Software Engineer,Internship Conversion,88171
ST000104,19,Male,Sophomore,Computer Science,83,12,2.99,Average,6,6,2,4,Yes,3,Yes,Yes,96,10,9,9,Advanced,66,198.65,Not Placed,No Company,Not Placed,Not Applicable,0
ST000105,20,Male,Freshman,Computer Science,89,24,3.51,Good,9,10,0,4,Yes,5,Yes,No,100,10,10,10,Advanced,97,252.15,Placed,Tier 1,Backend Developer,Off-Campus,103635
ST000106,21,Male,Junior,Information Technology,93,17,3.22,Good,6,6,3,2,No,4,No,Yes,92,7,7,6,Advanced,66,195.4,Not Placed,No Company,Not Placed,Not Applicable,0
ST000107,18,Other,Senior,Data Science,84,28,3.09,Average,5,3,3,1,Yes,5,No,Yes,89,9,7,8,Advanced,86,205.55,Not Placed,No Company,Not Placed,Not Applicable,0
ST000108,20,Male,Freshman,Software Engineering,92,26,3.53,Good,9,9,2,4,Yes,5,No,Yes,100,9,7,10,Advanced,89,247.45,Placed,Tier 1,DevOps Engineer,Off-Campus,99734
ST000109,21,Female,Freshman,Software Engineering,74,8,2.65,Average,7,12,2,1,No,5,No,No,100,9,5,5,Advanced,86,220.75,Placed,Tier 1,Software Engineer,Campus Placement,97119
ST000110,21,Male,Freshman,Data Science,100,32,3.64,Good,7,9,0,3,Yes,5,Yes,Yes,100,9,9,8,Advanced,60,219.6,Not Placed,No Company,Not Placed,Not Applicable,0
ST000111,19,Female,Freshman,Computer Science,81,34,3.62,Good,8,8,3,2,Yes,5,No,Yes,100,10,6,9,Advanced,82,240.8,Placed,Tier 1,Full Stack Developer,Campus Placement,106810
ST000112,19,Male,Junior,Information Technology,79,24,3.25,Good,6,10,1,2,No,4,No,No,88,9,7,6,Advanced,76,208.65,Placed,Tier 1,Cloud Engineer,Off-Campus,76789
ST000113,20,Female,Sophomore,Computer Science,66,18,2.84,Average,5,7,0,3,Yes,3,No,No,76,8,5,4,Intermediate,68,172.4,Not Placed,No Company,Not Placed,Not Applicable,0
ST000114,23,Female,Senior,Cybersecurity,71,22,2.97,Average,8,10,1,2,Yes,5,No,Yes,100,6,6,8,Intermediate,71,216.55,Not Placed,No Company,Not Placed,Not Applicable,0
ST000115,23,Male,Freshman,Information Technology,88,36,3.56,Good,6,7,4,2,Yes,4,No,Yes,98,7,6,9,Advanced,74,215.8,Not Placed,No Company,Not Placed,Not Applicable,0
ST000116,21,Male,Freshman,Software Engineering,79,11,2.96,Average,8,9,6,4,Yes,4,No,Yes,100,9,7,6,Advanced,74,220.4,Placed,Tier 1,DevOps Engineer,Campus Placement,80315
ST000117,22,Female,Junior,Computer Science,100,29,3.58,Good,9,11,3,5,Yes,5,Yes,Yes,100,10,9,9,Advanced,94,256.2,Placed,Tier 1,Backend Developer,Off-Campus,99039
ST000118,21,Male,Sophomore,Information Technology,100,14,3.31,Good,8,9,2,2,Yes,5,No,Yes,100,9,7,10,Advanced,92,241.65,Placed,Tier 1,Cloud Engineer,Off-Campus,104533
ST000119,18,Male,Junior,Computer Science,83,19,3.13,Average,7,9,4,1,Yes,5,Yes,Yes,100,10,5,7,Advanced,83,229.45,Placed,Tier 1,Backend Developer,Campus Placement,77863
ST000120,22,Male,Sophomore,Information Technology,72,18,2.97,Average,6,7,1,2,No,3,No,No,97,7,7,8,Advanced,69,192.65,Placed,Tier 1,IT Support Engineer,Campus Placement,98588
ST000121,24,Female,Junior,Software Engineering,86,21,3.05,Average,8,7,3,3,Yes,4,No,Yes,100,8,7,7,Advanced,68,210.25,Placed,Tier 1,DevOps Engineer,Internship Conversion,81263
ST000122,21,Female,Senior,Computer Science,83,35,3.29,Good,7,10,2,4,Yes,5,Yes,Yes,100,10,9,7,Advanced,98,238.35,Placed,Tier 1,Backend Developer,Referral,90334
ST000123,20,Female,Freshman,Software Engineering,80,15,3.1,Average,8,5,3,3,Yes,3,Yes,No,100,9,9,7,Advanced,77,208.5,Placed,Tier 1,Software Engineer,Campus Placement,85484
ST000124,20,Male,Freshman,Information Technology,89,26,3.22,Good,8,8,3,4,Yes,5,No,Yes,100,8,7,8,Advanced,70,222.8,Placed,Tier 1,Cloud Engineer,Off-Campus,106994
ST000125,28,Male,Senior,Artificial Intelligence,71,14,2.87,Average,9,10,1,4,Yes,5,Yes,Yes,100,10,10,9,Advanced,99,243.05,Placed,Tier 1,Data Scientist,Campus Placement,73681
ST000126,19,Male,Freshman,Artificial Intelligence,54,26,2.56,Poor,5,8,3,2,Yes,4,No,No,100,9,7,5,Advanced,58,185.9,Placed,Tier 1,Data Scientist,Campus Placement,103231
ST000127,21,Female,Junior,Computer Science,79,16,3.26,Good,7,9,3,3,No,5,No,Yes,100,9,5,6,Advanced,79,223.9,Placed,Tier 1,Full Stack Developer,Internship Conversion,79886
ST000128,21,Female,Senior,Electrical Engineering,77,17,2.71,Average,4,2,2,2,Yes,0,No,Yes,58,4,6,6,Basic,43,122.55,Not Placed,No Company,Not Placed,Not Applicable,0
ST000129,29,Female,Junior,Artificial Intelligence,80,26,3.21,Good,8,9,1,5,Yes,5,Yes,No,100,10,8,7,Advanced,72,224.65,Placed,Tier 1,AI Engineer,Campus Placement,91931
ST000130,19,Female,Sophomore,Information Technology,84,25,3.0,Average,7,8,2,5,No,5,No,No,100,8,5,6,Advanced,69,209.5,Placed,Tier 1,IT Support Engineer,Campus Placement,92925
ST000131,22,Female,Freshman,Information Technology,80,22,3.06,Average,5,7,2,0,Yes,5,No,Yes,98,9,6,6,Advanced,77,205.8,Placed,Tier 1,IT Support Engineer,Campus Placement,104497
ST000132,22,Female,Freshman,Artificial Intelligence,75,24,2.86,Average,8,9,1,3,No,2,Yes,No,96,8,8,6,Advanced,65,193.7,Placed,Tier 1,AI Engineer,Campus Placement,80154
ST000133,23,Male,Senior,Cybersecurity,91,24,3.26,Good,9,8,3,6,Yes,4,Yes,Yes,100,10,10,9,Advanced,95,240.9,Placed,Tier 1,Cybersecurity Analyst,Campus Placement,109141
ST000134,19,Female,Senior,Cybersecurity,89,9,3.18,Average,6,10,3,1,Yes,4,No,Yes,98,8,5,7,Advanced,86,218.6,Placed,Tier 1,Cybersecurity Analyst,Off-Campus,99111
ST000135,22,Female,Sophomore,Computer Science,76,20,2.71,Average,6,9,4,1,No,3,No,No,99,7,5,6,Intermediate,69,193.85,Placed,Tier 1,Full Stack Developer,Internship Conversion,107383
ST000136,21,Male,Sophomore,Software Engineering,87,22,3.16,Average,8,9,1,3,No,5,No,No,100,8,7,8,Advanced,86,228.9,Placed,Tier 1,DevOps Engineer,Off-Campus,73419
ST000137,23,Female,Freshman,Cybersecurity,80,25,2.92,Average,6,5,2,5,No,5,Yes,No,100,10,7,5,Advanced,72,201.8,Placed,Tier 1,Penetration Tester,Internship Conversion,79656
